,Date,Public Transport Route,Station,Weather Condition,Time of Day,Delay Due to Weather (minutes),Temperature (°C),Rainfall (mm),Wind Speed (km/h),Humidity (%)
14217,2020-07-13 16:00:00,DLR,Canary Wharf,Clear,Rush Hour,10,21,35,22,61
14218,2020-07-13 17:00:00,DLR,Lewisham,Fog,Off-Peak,20,-3,38,34,47
14219,2020-07-13 18:00:00,DLR,Poplar,Snow,Off-Peak,25,6,39,21,50
14220,2020-07-13 19:00:00,Bus,Victoria,Clear,Off-Peak,10,24,40,34,48
14221,2020-07-13 20:00:00,Tram,Elmers End,Ice,Off-Peak,40,3,0,5,45
14222,2020-07-13 21:00:00,Tram,Elmers End,Ice,Off-Peak,40,31,16,22,83
14223,2020-07-13 22:00:00,Bus,King's Cross,Snow,Off-Peak,30,-5,27,22,48
14224,2020-07-13 23:00:00,Train,London Bridge,Wind,Rush Hour,10,-2,6,29,85
14225,2020-07-14 00:00:00,Tube,Green Park,Snow,Rush Hour,20,9,19,36,54
14226,2020-07-14 01:00:00,Tube,Oxford Circus,Snow,Rush Hour,20,21,41,19,92
14227,2020-07-14 02:00:00,Tram,Wimbledon,Clear,Off-Peak,10,2,23,10,98
14228,2020-07-14 03:00:00,Bus,Oxford Circus,Ice,Off-Peak,45,17,0,23,54
14229,2020-07-14 04:00:00,DLR,Tower Gateway,Wind,Off-Peak,20,9,17,17,41
14230,2020-07-14 05:00:00,DLR,Canary Wharf,Wind,Off-Peak,10,21,25,26,71
14231,2020-07-14 06:00:00,DLR,Poplar,Wind,Off-Peak,20,25,13,6,100
14233,2020-07-14 07:00:00,No Service,Liverpool Street,Snow,Off-Peak,20,33,18,20,90
14234,2020-07-14 08:00:00,No Service,East Croydon,Wind,Off-Peak,25,2,17,14,76
14235,2020-07-14 09:00:00,No Service,King's Cross,Clear,Off-Peak,0,24,44,7,45
14237,2020-07-14 10:00:00,Tram,Elmers End,Ice,Off-Peak,40,12,6,27,64
14238,2020-07-14 11:00:00,Tram,Wimbledon,Snow,Off-Peak,35,-2,1,20,51
14239,2020-07-14 12:00:00,DLR,Shadwell,Fog,Rush Hour,20,16,6,7,93
14240,2020-07-14 13:00:00,Tube,Waterloo,Wind,Rush Hour,20,-3,27,27,85
14241,2020-07-14 14:00:00,Bus,Victoria,Clear,Rush Hour,0,9,27,33,72
14242,2020-07-14 15:00:00,DLR,Tower Gateway,Ice,Off-Peak,35,29,41,14,57
14243,2020-07-14 16:00:00,Tube,Leicester Square,Fog,Off-Peak,40,32,16,36,77
14244,2020-07-14 17:00:00,Tram,South Wimbledon,Snow,Off-Peak,35,27,29,26,98
14245,2020-07-14 18:00:00,DLR,Stratford,Rain,Off-Peak,5,8,20,40,46
14246,2020-07-14 19:00:00,Tube,Piccadilly Circus,Fog,Off-Peak,50,-5,36,25,80
14247,2020-07-14 20:00:00,DLR,Tower Gateway,Fog,Off-Peak,30,20,8,11,58
14248,2020-07-14 21:00:00,DLR,Tower Gateway,Ice,Rush Hour,35,2,35,33,63
14249,2020-07-14 22:00:00,Tube,Leicester Square,Clear,Rush Hour,0,10,21,30,69
14250,2020-07-14 23:00:00,Bus,King's Cross,Fog,Rush Hour,25,32,14,2,86
14251,2020-07-15 00:00:00,Tram,Beckenham Junction,Wind,Off-Peak,15,4,13,25,54
14252,2020-07-15 01:00:00,Tube,Green Park,Fog,Off-Peak,40,31,26,5,100
14253,2020-07-15 02:00:00,Tram,Elmers End,Clear,Off-Peak,10,20,17,19,61
14255,2020-07-15 03:00:00,Tube,Waterloo,Fog,Off-Peak,50,22,9,39,40
14259,2020-07-15 04:00:00,No Service,East Croydon,Fog,Off-Peak,40,6,47,16,85
14260,2020-07-15 05:00:00,No Service,Leicester Square,Fog,Off-Peak,50,14,21,40,71
14261,2020-07-15 06:00:00,Tram,Addiscombe,Ice,Off-Peak,40,8,22,0,88
14262,2020-07-15 07:00:00,Bus,Waterloo,Fog,Off-Peak,25,29,41,12,69
14263,2020-07-15 08:00:00,Tube,Oxford Circus,Snow,Rush Hour,10,23,40,17,70
14264,2020-07-15 09:00:00,Train,Euston,Clear,Rush Hour,10,6,47,20,49
14265,2020-07-15 10:00:00,Bus,Waterloo,Ice,Rush Hour,35,12,4,11,56
14266,2020-07-15 11:00:00,Bus,King's Cross,Rain,Off-Peak,15,-4,50,11,59
14267,2020-07-15 12:00:00,DLR,Stratford,Wind,Off-Peak,20,-4,24,25,90
14268,2020-07-15 13:00:00,Train,Paddington,Clear,Off-Peak,10,11,0,39,92
14269,2020-07-15 14:00:00,Train,London Bridge,Fog,Off-Peak,15,4,23,27,61
14270,2020-07-15 15:00:00,Tube,Green Park,Wind,Off-Peak,20,12,32,24,59
14271,2020-07-15 16:00:00,DLR,Poplar,Fog,Off-Peak,20,16,36,20,99
14272,2020-07-15 17:00:00,Tram,Beckenham Junction,Wind,Rush Hour,15,13,6,10,40
14273,2020-07-15 18:00:00,DLR,Poplar,Wind,Rush Hour,10,-5,23,8,43
14274,2020-07-15 19:00:00,Tube,Kings Cross St Pancras,Rain,Rush Hour,15,18,14,34,94
14275,2020-07-15 20:00:00,DLR,Bank,Rain,Off-Peak,15,30,10,35,68
14276,2020-07-15 21:00:00,Tram,New Addington,Snow,Off-Peak,35,19,43,28,93
14277,2020-07-15 22:00:00,Tram,East Croydon,Clear,Off-Peak,0,30,16,39,83
14278,2020-07-15 23:00:00,Tram,Addiscombe,Ice,Off-Peak,40,25,48,16,67
14279,2020-07-16 00:00:00,DLR,Canary Wharf,Snow,Off-Peak,25,25,22,36,40
14280,2020-07-16 01:00:00,No Service,Kings Cross St Pancras,Snow,Off-Peak,20,-4,48,7,90
14281,2020-07-16 02:00:00,No Service,Oxford Circus,Ice,Off-Peak,35,13,3,4,50
14283,2020-07-16 03:00:00,No Service,Piccadilly Circus,Snow,Off-Peak,10,6,30,22,81
14284,2020-07-16 04:00:00,No Service,Tottenham Court Road,Clear,Off-Peak,10,4,33,9,66
14285,2020-07-16 05:00:00,DLR,Tower Gateway,Rain,Off-Peak,15,25,9,40,79
14286,2020-07-16 06:00:00,Tram,New Addington,Clear,Off-Peak,10,16,36,14,99
14287,2020-07-16 07:00:00,DLR,Bank,Clear,Rush Hour,0,17,9,15,65
14288,2020-07-16 08:00:00,Tram,Wimbledon,Clear,Rush Hour,0,17,41,26,57
14289,2020-07-16 09:00:00,Bus,Soho,Clear,Rush Hour,0,9,10,31,56
14290,2020-07-16 10:00:00,Tram,New Addington,Fog,Off-Peak,30,20,30,39,81
14291,2020-07-16 11:00:00,Tube,Oxford Circus,Clear,Off-Peak,0,-3,9,34,87
14292,2020-07-16 12:00:00,Train,Paddington,Ice,Off-Peak,40,17,42,36,72
14293,2020-07-16 13:00:00,DLR,Bank,Ice,Off-Peak,35,14,37,23,78
14294,2020-07-16 14:00:00,Train,King's Cross,Fog,Off-Peak,15,34,41,30,94
14295,2020-07-16 15:00:00,Tube,Leicester Square,Ice,Off-Peak,35,33,7,34,100
14296,2020-07-16 16:00:00,Train,King's Cross,Fog,Rush Hour,25,2,10,15,81
14297,2020-07-16 17:00:00,Train,Waterloo,Snow,Rush Hour,30,12,19,39,88
14298,2020-07-16 18:00:00,Train,London Bridge,Snow,Rush Hour,40,0,23,35,68
14299,2020-07-16 19:00:00,Train,Euston,Rain,Off-Peak,15,21,50,11,76
14300,2020-07-16 20:00:00,Tube,Kings Cross St Pancras,Clear,Off-Peak,10,30,6,15,95
14301,2020-07-16 21:00:00,DLR,Bank,Rain,Off-Peak,5,9,20,4,80
14302,2020-07-16 22:00:00,Train,King's Cross,Snow,Off-Peak,30,31,43,4,55
14303,2020-07-16 23:00:00,Bus,King's Cross,Ice,Off-Peak,35,-1,5,19,95
14304,2020-07-17 00:00:00,No Service,Shadwell,Rain,Off-Peak,5,33,30,37,81
14306,2020-07-17 01:00:00,No Service,Lewisham,Wind,Off-Peak,20,3,11,35,63
14307,2020-07-17 02:00:00,No Service,Elmers End,Wind,Off-Peak,25,1,36,31,44
14309,2020-07-17 03:00:00,Bus,Soho,Clear,Off-Peak,10,14,12,39,70
14310,2020-07-17 04:00:00,Train,Paddington,Clear,Off-Peak,10,4,48,10,74
14311,2020-07-17 05:00:00,Bus,Victoria,Snow,Rush Hour,20,20,30,10,50
14312,2020-07-17 06:00:00,Bus,Tottenham Court Road,Ice,Rush Hour,35,-2,8,27,41
14313,2020-07-17 07:00:00,Tram,East Croydon,Ice,Rush Hour,40,32,26,11,60
14314,2020-07-17 08:00:00,Bus,Liverpool Street,Wind,Off-Peak,15,18,16,30,46
14315,2020-07-17 09:00:00,Tube,Green Park,Snow,Off-Peak,10,8,50,39,53
14316,2020-07-17 10:00:00,Tram,New Addington,Wind,Off-Peak,25,-5,50,29,56
14317,2020-07-17 11:00:00,Train,Clapham Junction,Snow,Off-Peak,30,11,7,19,73
14318,2020-07-17 12:00:00,DLR,Shadwell,Clear,Off-Peak,0,18,26,26,74
14319,2020-07-17 13:00:00,Tube,Green Park,Ice,Off-Peak,35,21,39,24,93
14320,2020-07-17 14:00:00,DLR,Shadwell,Rain,Rush Hour,5,1,14,33,44
14321,2020-07-17 15:00:00,Bus,King's Cross,Rain,Rush Hour,5,3,38,34,90
14322,2020-07-17 16:00:00,Tram,Beckenham Junction,Fog,Rush Hour,40,29,5,4,99
14323,2020-07-17 17:00:00,Bus,Victoria,Fog,Off-Peak,35,6,31,39,99
14324,2020-07-17 18:00:00,Tube,Green Park,Ice,Off-Peak,35,15,47,38,55
14325,2020-07-17 19:00:00,DLR,Bank,Fog,Off-Peak,20,-3,7,7,56
14326,2020-07-17 20:00:00,Bus,King's Cross,Snow,Off-Peak,30,9,34,18,88
14327,2020-07-17 21:00:00,Train,Paddington,Rain,Off-Peak,15,15,30,17,48
14328,2020-07-17 22:00:00,No Service,Poplar,Ice,Off-Peak,35,4,41,15,53
14329,2020-07-17 23:00:00,No Service,Soho,Clear,Off-Peak,10,27,25,18,70
14330,2020-07-18 00:00:00,No Service,Addiscombe,Fog,Off-Peak,40,0,41,14,95
14331,2020-07-18 01:00:00,No Service,Green Park,Snow,Off-Peak,10,-4,23,28,92
14332,2020-07-18 02:00:00,No Service,Beckenham Junction,Ice,Off-Peak,40,23,50,14,80
14333,2020-07-18 03:00:00,Bus,Tottenham Court Road,Clear,Off-Peak,0,34,1,28,93
14334,2020-07-18 04:00:00,Tram,Addiscombe,Rain,Off-Peak,20,27,40,16,98
14335,2020-07-18 05:00:00,Train,Euston,Ice,Rush Hour,40,-2,0,14,73
14336,2020-07-18 06:00:00,Bus,Tottenham Court Road,Ice,Rush Hour,45,-2,9,39,59
14337,2020-07-18 07:00:00,Bus,King's Cross,Snow,Rush Hour,20,23,49,10,40
14338,2020-07-18 08:00:00,Tram,Beckenham Junction,Snow,Off-Peak,25,31,22,2,77
14339,2020-07-18 09:00:00,DLR,Poplar,Snow,Off-Peak,15,14,32,12,56
14340,2020-07-18 10:00:00,Tram,South Wimbledon,Snow,Off-Peak,35,17,43,37,95
14341,2020-07-18 11:00:00,Tram,Elmers End,Snow,Off-Peak,35,12,36,8,55
14342,2020-07-18 12:00:00,Train,Paddington,Ice,Off-Peak,30,19,10,19,73
14343,2020-07-18 13:00:00,Tram,East Croydon,Wind,Off-Peak,25,-5,19,25,87
14344,2020-07-18 14:00:00,Train,Paddington,Clear,Rush Hour,10,9,25,11,89
14345,2020-07-18 15:00:00,DLR,Lewisham,Clear,Rush Hour,10,28,45,30,88
14346,2020-07-18 16:00:00,DLR,Lewisham,Ice,Rush Hour,25,14,46,1,46
14347,2020-07-18 17:00:00,Tube,Piccadilly Circus,Ice,Off-Peak,35,31,1,32,97
14348,2020-07-18 18:00:00,DLR,Shadwell,Rain,Off-Peak,15,21,24,15,80
14349,2020-07-18 19:00:00,Tram,East Croydon,Fog,Off-Peak,30,16,3,4,83
14350,2020-07-18 20:00:00,Bus,Liverpool Street,Wind,Off-Peak,15,-1,18,16,66
14351,2020-07-18 21:00:00,Bus,King's Cross,Snow,Off-Peak,30,28,12,39,54
14352,2020-07-18 22:00:00,No Service,Wimbledon,Fog,Off-Peak,30,33,18,31,79
14353,2020-07-18 23:00:00,No Service,Oxford Circus,Ice,Off-Peak,35,-3,12,14,100
14354,2020-07-19 00:00:00,No Service,Addiscombe,Fog,Off-Peak,30,11,11,11,89
14355,2020-07-19 01:00:00,No Service,Oxford Circus,Snow,Off-Peak,30,18,1,16,61
14356,2020-07-19 02:00:00,No Service,Beckenham Junction,Clear,Off-Peak,0,18,36,9,91
14357,2020-07-19 03:00:00,Bus,Tottenham Court Road,Clear,Off-Peak,10,-3,49,25,69
14358,2020-07-19 04:00:00,Bus,Liverpool Street,Snow,Off-Peak,30,1,22,27,91
14359,2020-07-19 05:00:00,Tube,Waterloo,Wind,Rush Hour,30,19,18,27,97
14360,2020-07-19 06:00:00,Tube,Leicester Square,Clear,Rush Hour,0,-3,2,22,75
14361,2020-07-19 07:00:00,DLR,Poplar,Fog,Rush Hour,30,9,23,19,72
14362,2020-07-19 08:00:00,Train,King's Cross,Ice,Off-Peak,40,23,22,16,84
14363,2020-07-19 09:00:00,Tram,Beckenham Junction,Wind,Off-Peak,25,23,3,7,48
14364,2020-07-19 10:00:00,Tube,Piccadilly Circus,Rain,Off-Peak,15,4,17,14,41
14365,2020-07-19 11:00:00,Bus,Tottenham Court Road,Fog,Off-Peak,35,26,11,40,40
14366,2020-07-19 12:00:00,DLR,Bank,Wind,Off-Peak,20,17,34,22,97
14367,2020-07-19 13:00:00,Tram,South Wimbledon,Rain,Off-Peak,10,33,26,13,45
14368,2020-07-19 14:00:00,Bus,Liverpool Street,Clear,Rush Hour,0,3,42,39,61
14369,2020-07-19 15:00:00,Train,Waterloo,Wind,Rush Hour,20,31,13,26,86
14370,2020-07-19 16:00:00,Bus,Victoria,Snow,Rush Hour,30,34,30,12,57
14371,2020-07-19 17:00:00,DLR,Poplar,Fog,Off-Peak,20,8,2,38,83
14372,2020-07-19 18:00:00,Train,Waterloo,Snow,Off-Peak,30,-2,4,24,73
14373,2020-07-19 19:00:00,Bus,Tottenham Court Road,Snow,Off-Peak,30,14,28,25,93
14374,2020-07-19 20:00:00,Bus,Liverpool Street,Rain,Off-Peak,5,22,38,10,74
14375,2020-07-19 21:00:00,Bus,Soho,Snow,Off-Peak,30,8,16,37,98
14377,2020-07-19 22:00:00,No Service,Baker Street,Ice,Off-Peak,35,28,18,8,75
14379,2020-07-19 23:00:00,No Service,New Addington,Ice,Off-Peak,50,7,34,32,65
14380,2020-07-20 00:00:00,No Service,Oxford Circus,Rain,Off-Peak,5,25,32,15,94
14381,2020-07-20 01:00:00,Tram,Wimbledon,Fog,Off-Peak,30,27,7,19,84
14382,2020-07-20 02:00:00,Tube,Kings Cross St Pancras,Wind,Off-Peak,30,33,36,6,44
14383,2020-07-20 03:00:00,Bus,King's Cross,Ice,Rush Hour,45,22,34,32,69
14384,2020-07-20 04:00:00,Bus,Tottenham Court Road,Snow,Rush Hour,20,19,19,12,52
14385,2020-07-20 05:00:00,DLR,Tower Gateway,Wind,Rush Hour,10,26,16,34,72
14386,2020-07-20 06:00:00,Tram,East Croydon,Clear,Off-Peak,0,3,44,3,62
14387,2020-07-20 07:00:00,Train,Euston,Fog,Off-Peak,25,22,12,30,60
14388,2020-07-20 08:00:00,Tube,Oxford Circus,Rain,Off-Peak,5,25,3,29,57
14389,2020-07-20 09:00:00,Tube,Baker Street,Clear,Off-Peak,10,11,49,2,45
14390,2020-07-20 10:00:00,Tube,Baker Street,Rain,Off-Peak,5,17,29,40,43
14391,2020-07-20 11:00:00,DLR,Shadwell,Rain,Off-Peak,5,7,5,26,75
14392,2020-07-20 12:00:00,Bus,Liverpool Street,Fog,Rush Hour,35,4,1,31,76
14393,2020-07-20 13:00:00,Bus,King's Cross,Fog,Rush Hour,35,10,14,37,40
14394,2020-07-20 14:00:00,Tube,Waterloo,Rain,Rush Hour,5,0,33,5,65
14395,2020-07-20 15:00:00,Tram,Wimbledon,Snow,Off-Peak,25,5,19,7,81
14396,2020-07-20 16:00:00,DLR,Canary Wharf,Clear,Off-Peak,10,-3,15,23,79
14397,2020-07-20 17:00:00,Train,Euston,Wind,Off-Peak,20,22,42,14,92
14398,2020-07-20 18:00:00,Tram,Wimbledon,Ice,Off-Peak,40,9,48,24,93
14399,2020-07-20 19:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,35,7,28,26,88
14400,2020-07-20 20:00:00,No Service,Victoria,Rain,Off-Peak,15,11,26,12,88
14401,2020-07-20 21:00:00,No Service,South Wimbledon,Rain,Off-Peak,10,1,0,19,79
14402,2020-07-20 22:00:00,No Service,Oxford Circus,Clear,Off-Peak,0,22,12,4,53
14403,2020-07-20 23:00:00,No Service,Waterloo,Rain,Off-Peak,5,32,39,37,97
14405,2020-07-21 00:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,45,7,31,6,96
14406,2020-07-21 01:00:00,DLR,Bank,Clear,Off-Peak,0,11,2,4,60
14407,2020-07-21 02:00:00,Tram,Wimbledon,Ice,Rush Hour,50,9,13,27,99
14408,2020-07-21 03:00:00,Tram,Beckenham Junction,Rain,Rush Hour,20,30,27,36,87
14409,2020-07-21 04:00:00,Bus,Tottenham Court Road,Clear,Rush Hour,0,22,45,28,83
14410,2020-07-21 05:00:00,DLR,Shadwell,Clear,Off-Peak,10,9,25,36,48
14411,2020-07-21 06:00:00,Bus,Victoria,Ice,Off-Peak,45,5,20,6,75
14412,2020-07-21 07:00:00,Train,Waterloo,Wind,Off-Peak,10,25,45,25,43
14413,2020-07-21 08:00:00,Tram,Wimbledon,Fog,Off-Peak,30,-2,50,18,60
14414,2020-07-21 09:00:00,Tube,Oxford Circus,Rain,Off-Peak,5,29,10,9,89
14415,2020-07-21 10:00:00,Tube,Green Park,Clear,Off-Peak,10,28,26,19,92
14416,2020-07-21 11:00:00,DLR,Shadwell,Snow,Rush Hour,25,21,43,30,56
14417,2020-07-21 12:00:00,Bus,Tottenham Court Road,Clear,Rush Hour,10,4,0,35,55
14418,2020-07-21 13:00:00,Tram,South Wimbledon,Snow,Rush Hour,25,24,32,5,80
14420,2020-07-21 14:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,35,14,45,14,97
14421,2020-07-21 15:00:00,Bus,Oxford Circus,Ice,Off-Peak,45,23,17,23,87
14422,2020-07-21 16:00:00,Bus,Liverpool Street,Wind,Off-Peak,15,23,1,29,94
14423,2020-07-21 17:00:00,DLR,Stratford,Fog,Off-Peak,20,17,3,8,67
14424,2020-07-21 18:00:00,No Service,Waterloo,Fog,Off-Peak,35,15,49,0,96
14425,2020-07-21 19:00:00,No Service,Oxford Circus,Clear,Off-Peak,0,4,3,14,41
14426,2020-07-21 20:00:00,No Service,Lewisham,Rain,Off-Peak,5,6,16,5,77
14428,2020-07-21 21:00:00,No Service,Victoria,Ice,Off-Peak,45,24,47,14,95
14429,2020-07-21 22:00:00,Bus,Victoria,Ice,Off-Peak,45,27,15,6,57
14430,2020-07-21 23:00:00,Bus,Liverpool Street,Ice,Off-Peak,45,12,8,26,76
14431,2020-07-22 00:00:00,Tram,South Wimbledon,Wind,Rush Hour,15,8,25,9,89
14432,2020-07-22 01:00:00,DLR,Poplar,Rain,Rush Hour,5,16,9,31,76
14433,2020-07-22 02:00:00,DLR,Tower Gateway,Snow,Rush Hour,25,15,6,20,94
14434,2020-07-22 03:00:00,Bus,Tottenham Court Road,Rain,Off-Peak,5,-5,8,36,66
14435,2020-07-22 04:00:00,Tube,Kings Cross St Pancras,Snow,Off-Peak,10,9,47,37,40
14436,2020-07-22 05:00:00,Bus,Tottenham Court Road,Rain,Off-Peak,15,30,26,35,99
14437,2020-07-22 06:00:00,Tram,South Wimbledon,Ice,Off-Peak,50,16,31,13,40
14438,2020-07-22 07:00:00,Tram,East Croydon,Clear,Off-Peak,10,26,48,38,40
14439,2020-07-22 08:00:00,Tram,South Wimbledon,Fog,Off-Peak,40,27,22,40,83
14440,2020-07-22 09:00:00,Bus,Oxford Circus,Snow,Rush Hour,30,33,26,13,51
14441,2020-07-22 10:00:00,DLR,Stratford,Rain,Rush Hour,15,17,24,1,76
14442,2020-07-22 11:00:00,Bus,Tottenham Court Road,Wind,Rush Hour,25,-4,28,23,51
14443,2020-07-22 12:00:00,Train,Victoria,Rain,Off-Peak,15,-4,23,9,92
14444,2020-07-22 13:00:00,Tram,Wimbledon,Rain,Off-Peak,20,32,15,5,100
14445,2020-07-22 14:00:00,DLR,Canary Wharf,Clear,Off-Peak,10,23,15,2,52
14446,2020-07-22 15:00:00,DLR,Bank,Snow,Off-Peak,25,-3,27,33,81
14447,2020-07-22 16:00:00,Bus,Soho,Ice,Off-Peak,35,33,19,25,85
14448,2020-07-22 17:00:00,No Service,Bank,Rain,Off-Peak,15,1,18,9,56
14449,2020-07-22 18:00:00,No Service,Canary Wharf,Wind,Off-Peak,10,30,9,37,96
14451,2020-07-22 19:00:00,No Service,Poplar,Rain,Off-Peak,5,23,25,20,81
14453,2020-07-22 20:00:00,Tram,Addiscombe,Wind,Off-Peak,15,31,1,24,55
14454,2020-07-22 21:00:00,Tram,Wimbledon,Rain,Off-Peak,20,30,2,1,79
14455,2020-07-22 22:00:00,DLR,Stratford,Clear,Rush Hour,10,17,38,35,83
14456,2020-07-22 23:00:00,Tube,Baker Street,Ice,Rush Hour,25,10,1,0,84
14457,2020-07-23 00:00:00,Tram,New Addington,Clear,Rush Hour,0,25,24,35,45
14458,2020-07-23 01:00:00,Tube,Kings Cross St Pancras,Ice,Off-Peak,25,28,44,23,55
14459,2020-07-23 02:00:00,Tram,East Croydon,Clear,Off-Peak,10,-5,3,9,57
14460,2020-07-23 03:00:00,Bus,Soho,Clear,Off-Peak,0,12,14,34,61
14461,2020-07-23 04:00:00,Train,Victoria,Ice,Off-Peak,40,34,17,21,63
14462,2020-07-23 05:00:00,Tube,Kings Cross St Pancras,Ice,Off-Peak,25,9,6,33,60
14463,2020-07-23 06:00:00,DLR,Tower Gateway,Snow,Off-Peak,15,11,26,31,74
14464,2020-07-23 07:00:00,DLR,Poplar,Ice,Rush Hour,25,4,17,15,80
14465,2020-07-23 08:00:00,Bus,Liverpool Street,Fog,Rush Hour,35,14,6,29,48
14466,2020-07-23 09:00:00,DLR,Shadwell,Rain,Rush Hour,15,0,28,35,88
14467,2020-07-23 10:00:00,Tram,East Croydon,Rain,Off-Peak,10,2,40,30,46
14468,2020-07-23 11:00:00,Tube,Kings Cross St Pancras,Clear,Off-Peak,0,28,43,29,92
14469,2020-07-23 12:00:00,Train,Victoria,Clear,Off-Peak,10,26,32,4,51
14470,2020-07-23 13:00:00,Bus,Soho,Snow,Off-Peak,20,-2,1,23,70
14471,2020-07-23 14:00:00,Tube,Green Park,Fog,Off-Peak,40,33,17,35,40
14473,2020-07-23 15:00:00,No Service,Green Park,Clear,Off-Peak,10,14,45,26,64
14475,2020-07-23 16:00:00,No Service,New Addington,Clear,Off-Peak,10,18,22,13,78
14477,2020-07-23 17:00:00,DLR,Poplar,Fog,Off-Peak,30,18,5,36,76
14478,2020-07-23 18:00:00,Tube,Baker Street,Fog,Off-Peak,50,20,42,12,59
14479,2020-07-23 19:00:00,DLR,Shadwell,Fog,Rush Hour,30,19,24,19,72
14480,2020-07-23 20:00:00,Tube,Oxford Circus,Wind,Rush Hour,20,30,18,27,60
14481,2020-07-23 21:00:00,Tube,Baker Street,Clear,Rush Hour,0,1,7,5,63
14482,2020-07-23 22:00:00,Train,Euston,Ice,Off-Peak,30,4,36,8,48
14483,2020-07-23 23:00:00,Train,Waterloo,Snow,Off-Peak,30,6,25,21,87
14484,2020-07-24 00:00:00,DLR,Bank,Clear,Off-Peak,10,-5,28,22,47
14485,2020-07-24 01:00:00,Bus,Tottenham Court Road,Ice,Off-Peak,45,19,27,7,73
14486,2020-07-24 02:00:00,Train,Paddington,Snow,Off-Peak,40,10,6,0,77
14487,2020-07-24 03:00:00,Bus,Soho,Clear,Off-Peak,0,-1,35,6,55
14488,2020-07-24 04:00:00,Tube,Green Park,Rain,Rush Hour,5,13,14,11,94
14489,2020-07-24 05:00:00,DLR,Shadwell,Rain,Rush Hour,15,-2,32,38,95
14490,2020-07-24 06:00:00,Train,London Bridge,Clear,Rush Hour,10,0,4,16,94
14491,2020-07-24 07:00:00,Bus,Soho,Clear,Off-Peak,0,20,28,15,65
14492,2020-07-24 08:00:00,DLR,Lewisham,Wind,Off-Peak,10,33,16,3,40
14493,2020-07-24 09:00:00,Tube,Oxford Circus,Snow,Off-Peak,10,33,44,36,60
14494,2020-07-24 10:00:00,Train,London Bridge,Fog,Off-Peak,15,3,26,8,76
14495,2020-07-24 11:00:00,Tube,Waterloo,Ice,Off-Peak,35,8,16,8,52
14496,2020-07-24 12:00:00,No Service,Green Park,Fog,Off-Peak,40,3,50,26,67
14499,2020-07-24 13:00:00,No Service,Piccadilly Circus,Fog,Off-Peak,40,9,3,11,74
14500,2020-07-24 14:00:00,No Service,Stratford,Snow,Off-Peak,25,31,48,33,85
14501,2020-07-24 15:00:00,Tube,Piccadilly Circus,Rain,Off-Peak,15,14,11,22,93
14502,2020-07-24 16:00:00,Bus,Soho,Ice,Off-Peak,45,2,22,34,100
14503,2020-07-24 17:00:00,Tram,New Addington,Ice,Rush Hour,40,26,49,39,93
14504,2020-07-24 18:00:00,Tube,Oxford Circus,Rain,Rush Hour,5,15,10,8,47
14505,2020-07-24 19:00:00,Tube,Kings Cross St Pancras,Snow,Rush Hour,20,13,35,12,60
14506,2020-07-24 20:00:00,Bus,Oxford Circus,Snow,Off-Peak,20,23,11,1,88
14507,2020-07-24 21:00:00,DLR,Canary Wharf,Fog,Off-Peak,30,25,8,1,68
14508,2020-07-24 22:00:00,Tram,East Croydon,Clear,Off-Peak,0,0,23,28,58
14509,2020-07-24 23:00:00,Tram,New Addington,Wind,Off-Peak,25,-2,17,21,53
14510,2020-07-25 00:00:00,DLR,Poplar,Ice,Off-Peak,25,23,26,20,48
14511,2020-07-25 01:00:00,Train,Paddington,Rain,Off-Peak,15,-3,8,5,78
14512,2020-07-25 02:00:00,Tram,East Croydon,Snow,Rush Hour,25,-5,32,27,92
14513,2020-07-25 03:00:00,Tube,Leicester Square,Clear,Rush Hour,10,9,5,15,85
14514,2020-07-25 04:00:00,Bus,Waterloo,Clear,Rush Hour,0,15,50,0,66
14515,2020-07-25 05:00:00,DLR,Stratford,Ice,Off-Peak,25,25,32,22,40
14516,2020-07-25 06:00:00,Train,Euston,Ice,Off-Peak,40,1,39,7,83
14517,2020-07-25 07:00:00,Tram,New Addington,Fog,Off-Peak,30,11,5,7,43
14518,2020-07-25 08:00:00,Tram,Addiscombe,Ice,Off-Peak,50,13,3,0,70
14519,2020-07-25 09:00:00,Tube,Oxford Circus,Clear,Off-Peak,10,33,2,10,95
14520,2020-07-25 10:00:00,No Service,Green Park,Rain,Off-Peak,15,-3,12,7,54
14521,2020-07-25 11:00:00,No Service,Shadwell,Ice,Off-Peak,25,24,25,30,40
14522,2020-07-25 12:00:00,No Service,Bank,Rain,Off-Peak,15,29,33,35,47
14523,2020-07-25 13:00:00,No Service,Waterloo,Ice,Off-Peak,35,23,12,7,86
14524,2020-07-25 14:00:00,No Service,Green Park,Rain,Off-Peak,5,8,46,23,45
14525,2020-07-25 15:00:00,Tram,Wimbledon,Clear,Off-Peak,0,29,7,26,98
14526,2020-07-25 16:00:00,Tram,Addiscombe,Snow,Off-Peak,25,22,11,28,66
14527,2020-07-25 17:00:00,Bus,Victoria,Clear,Rush Hour,0,24,7,17,65
14528,2020-07-25 18:00:00,Tram,Wimbledon,Fog,Rush Hour,40,20,18,8,41
14529,2020-07-25 19:00:00,Bus,Victoria,Clear,Rush Hour,10,1,40,35,52
